Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Phosphorous,Potassium,Fertilizer Name
21,44,64,Clayey,Sugarcane,9,59,18,NPK 14-35-14
38,80,27,Black,Soybean,32,56,4,MOP
33,59,18,Red,Soybean,32,55,49,NPK 14-35-14
36,51,67,Loamy,Wheat,16,9,46,NPK 10-26-26
32,45,79,Red,Millets,53,40,32,NPK 10-26-26
38,45,22,Clayey,Maize,24,36,45,NPK 10-26-26
30,45,56,Clayey,Millets,31,11,18,NPK 10-26-26
38,57,67,Sandy,Ground Nuts,47,45,53,NPK 17-17-17
23,37,71,Black,Soybean,12,20,40,Urea
18,53,54,Black,Wheat,24,36,4,MOP
28,61,72,Clayey,Cotton,49,42,27,NPK 10-26-26
30,69,57,Sandy,Pulses,50,42,10,MOP
20,35,47,Black,Soybean,18,26,50,Urea
26,43,71,Clayey,Barley,52,18,5,NPK 10-26-26
34,58,31,Loamy,Cotton,2,27,26,Urea
20,49,38,Sandy,Millets,2,45,50,Urea
27,50,80,Black,Tobacco,25,14,28,DAP
29,67,60,Black,Soybean,52,1,30,DAP
35,57,68,Black,Rice,28,23,16,MOP
39,63,45,Loamy,Cotton,43,6,47,DAP
31,62,36,Black,Tobacco,58,40,17,MOP
19,45,54,Loamy,Millets,2,55,54,Urea
30,78,38,Loamy,Barley,6,16,26,NPK 10-26-26
26,75,70,Clayey,Barley,51,8,15,NPK 10-26-26
32,52,63,Sandy,Ground Nuts,1,5,60,NPK 10-26-26
36,52,20,Red,Cotton,47,21,45,NPK 17-17-17
35,69,27,Clayey,Soybean,60,7,9,NPK 10-26-26
25,37,35,Sandy,Pulses,32,60,32,NPK 14-35-14
40,44,58,Red,Maize,27,59,38,NPK 14-35-14
28,52,37,Red,Sugarcane,21,36,36,NPK 10-26-26
25,57,43,Clayey,Sugarcane,7,12,54,NPK 10-26-26
32,48,24,Black,Barley,15,26,56,Urea
33,43,26,Black,Millets,55,39,53,NPK 17-17-17
29,55,40,Loamy,Millets,35,19,28,DAP
26,70,48,Clayey,Cotton,18,59,42,Urea
30,52,52,Clayey,Wheat,51,27,25,NPK 10-26-26
37,69,60,Sandy,Sugarcane,39,55,42,NPK 14-35-14
32,36,26,Loamy,Tobacco,57,4,27,DAP
35,83,37,Sandy,Wheat,56,1,40,DAP
26,82,70,Loamy,Soybean,26,15,0,NPK 10-26-26
31,38,66,Sandy,Barley,23,55,33,NPK 14-35-14
18,70,55,Red,Soybean,7,55,7,NPK 14-35-14
37,48,33,Black,Barley,32,1,27,DAP
33,65,28,Sandy,Wheat,0,46,41,Urea
23,86,32,Clayey,Sugarcane,29,48,5,MOP
40,60,74,Sandy,Ground Nuts,56,3,13,NPK 10-26-26
32,60,68,Red,Wheat,4,12,14,NPK 20-20-20
19,90,37,Sandy,Sugarcane,18,40,50,Urea
35,44,35,Clayey,Sugarcane,48,13,48,DAP
25,47,78,Clayey,Sugarcane,52,47,23,NPK 10-26-26
39,59,55,Sandy,Sugarcane,50,4,5,NPK 10-26-26
38,90,43,Clayey,Maize,19,10,29,NPK 10-26-26
35,44,53,Black,Cotton,20,36,24,NPK 10-26-26
23,76,79,Clayey,Millets,18,40,58,Urea
22,70,59,Clayey,Millets,59,43,35,NPK 10-26-26
30,52,27,Black,Millets,55,38,9,MOP
31,69,75,Red,Ground Nuts,33,14,38,DAP
25,64,28,Sandy,Sugarcane,26,13,23,DAP
40,77,76,Black,Barley,16,59,0,NPK 14-35-14
32,43,45,Red,Rice,9,30,37,Urea
39,42,59,Loamy,Pulses,44,49,40,NPK 14-35-14
22,59,67,Clayey,Rice,53,35,33,NPK 10-26-26
23,86,20,Sandy,Tobacco,5,54,60,Urea
29,74,33,Sandy,Wheat,47,56,3,MOP
28,63,73,Loamy,Cotton,18,56,13,NPK 14-35-14
31,54,42,Sandy,Maize,39,46,39,NPK 14-35-14
30,81,51,Loamy,Wheat,41,35,47,NPK 17-17-17
22,55,62,Black,Wheat,12,36,37,Urea
23,46,37,Loamy,Soybean,21,13,35,DAP
25,70,48,Clayey,Tobacco,54,35,25,NPK 10-26-26
28,59,21,Red,Wheat,16,38,45,Urea
31,47,56,Clayey,Ground Nuts,10,56,54,Urea
26,89,15,Black,Pulses,21,51,27,NPK 14-35-14
37,42,79,Clayey,Ground Nuts,44,36,16,MOP
